1 60.000000
3 68.000000
6 80.000000
9 70.000000
12 65.000000
3 78.000000
6 72.000000
9 73.000000
12 77.000000
15 69.000000
3 68.000000
6 58.000000
9 72.000000
12 89.000000
15 74.000000
3 75.000000
6 73.000000
9 72.000000
12 78.000000
15 70.000000
3 82.000000
6 90.000000
9 99.000000
12 87.000000
15 78.000000
3 116.000000
6 121.000000
9 92.000000
12 107.000000
15 106.000000
3 249.000000
6 252.000000
9 266.000000
12 245.000000
15 231.000000
3 355.000000
6 346.000000
9 353.000000
12 339.000000
15 365.000000
3 430.000000
6 431.000000
9 424.000000
12 439.000000
15 424.000000
