10  1  60.000000  20.000000
10  3  68.000000  12.000000
10  6  80.000000  13.000000
10  9  70.000000  13.000000
10  12  65.000000  13.000000
50  3  78.000000  14.000000
50  6  72.000000  15.000000
50  9  73.000000  15.000000
50  12  77.000000  14.000000
50  15  69.000000  14.000000
100  3  68.000000  19.000000
100  6  58.000000  27.000000
100  9  72.000000  15.000000
100  12  89.000000  14.000000
100  15  74.000000  15.000000
200  3  75.000000  19.000000
200  6  73.000000  18.000000
200  9  72.000000  18.000000
200  12  78.000000  21.000000
200  15  70.000000  18.000000
500  3  82.000000  37.000000
500  6  90.000000  31.000000
500  9  99.000000  31.000000
500  12  87.000000  38.000000
500  15  78.000000  46.000000
1000  3  116.000000  47.000000
1000  6  121.000000  52.000000
1000  9  92.000000  55.000000
1000  12  107.000000  47.000000
1000  15  106.000000  45.000000
5000  3  249.000000  208.000000
5000  6  252.000000  186.000000
5000  9  266.000000  186.000000
5000  12  245.000000  187.000000
5000  15  231.000000  194.000000
8000  3  355.000000  290.000000
8000  6  346.000000  306.000000
8000  9  353.000000  298.000000
8000  12  339.000000  300.000000
8000  15  365.000000  296.000000
10000  3  430.000000  356.000000
10000  6  431.000000  357.000000
10000  9  424.000000  355.000000
10000  12  439.000000  357.000000
10000  15  424.000000  357.000000
