10 60.000000
10 68.000000
10 80.000000
10 70.000000
10 65.000000
50 78.000000
50 72.000000
50 73.000000
50 77.000000
50 69.000000
100 68.000000
100 58.000000
100 72.000000
100 89.000000
100 74.000000
200 75.000000
200 73.000000
200 72.000000
200 78.000000
200 70.000000
500 82.000000
500 90.000000
500 99.000000
500 87.000000
500 78.000000
1000 116.000000
1000 121.000000
1000 92.000000
1000 107.000000
1000 106.000000
5000 249.000000
5000 252.000000
5000 266.000000
5000 245.000000
5000 231.000000
8000 355.000000
8000 346.000000
8000 353.000000
8000 339.000000
8000 365.000000
10000 430.000000
10000 431.000000
10000 424.000000
10000 439.000000
10000 424.000000
